Country,Case def.,Total cases,Cases last 21 days,Total deaths,Country Report Date
Guinea,Confirmed,3335,8,2075,2015-08-23
Guinea,Probable,452,,452,
Guinea,Suspected,5,,,
Guinea,All,3792,8,2527,
Liberia,Confirmed,3151,,,2015-05-09
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,,4806,
Liberia2,Confirmed,6,0,2,2015-08-23
Liberia2,Probable,0,,,
Liberia2,Suspected,,,,
Liberia2,All,6,0,2,
Sierra Leone,Confirmed,8697,1,3586,2015-08-23
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,4557,,158,
Sierra Leone,All,13451,1,3952,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3332,6,2072,2015-08-16
Guinea,Probable,452,,452,
Guinea,Suspected,2,,,
Guinea,All,3786,6,2524,
Liberia,Confirmed,3151,,,2015-05-09
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,,4806,
Liberia2,Confirmed,6,0,2,2015-08-16
Liberia2,Probable,0,,,
Liberia2,Suspected,,,,
Liberia2,All,6,0,2,
Sierra Leone,Confirmed,8697,3,3586,2015-08-16
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,4510,,158,
Sierra Leone,All,13494,3,3952,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3329,7,2072,2015-08-09
Guinea,Probable,452,,452,
Guinea,Suspected,6,,,
Guinea,All,3787,7,2524,
Liberia,Confirmed,3151,,,2015-05-09
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,,4806,
Liberia2,Confirmed,6,0,2,2015-08-09
Liberia2,Probable,0,,,
Liberia2,Suspected,,,,
Liberia2,All,6,0,2,
Sierra Leone,Confirmed,8697,6,3585,2015-08-09
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,4486,,158,
Sierra Leone,All,13470,6,3951,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3327,27,2070,2015-08-02
Guinea,Probable,452,,452,
Guinea,Suspected,5,,,
Guinea,All,3784,27,2522,
Liberia,Confirmed,3151,,,2015-05-09
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,,4806,
Liberia2,Confirmed,6,0,2,2015-08-02
Liberia2,Probable,0,,,
Liberia2,Suspected,,,,
Liberia2,All,6,0,2,
Sierra Leone,Confirmed,8695,7,3585,2015-08-02
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,4424,,158,
Sierra Leone,All,13406,7,3951,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
