Country,Case def.,Total cases,Cases last 21 days,Total deaths,Country Report Date
Guinea,Confirmed,3257,34,2030,2015-06-21
Guinea,Probable,443,,443,
Guinea,Suspected,18,,,
Guinea,All,3718,34,2473,
Liberia,Confirmed,3151,0,,2015-05-17
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,0,4806,
Sierra Leone,Confirmed,8657,37,3562,2015-06-21
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,4115,,158,
Sierra Leone,All,13059,37,3928,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3245,35,2025,2015-06-14
Guinea,Probable,419,,419,
Guinea,Suspected,12,,,
Guinea,All,3674,35,2444,
Liberia,Confirmed,3151,0,,2015-05-17
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,0,4806,
Sierra Leone,Confirmed,8649,41,3553,2015-06-14
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,4029,,158,
Sierra Leone,All,12965,41,3919,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3239,38,2018,2015-06-07
Guinea,Probable,419,,419,
Guinea,Suspected,12,,,
Guinea,All,3670,38,2437,
Liberia,Confirmed,3151,0,,2015-05-17
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,0,4806,
Sierra Leone,Confirmed,8635,30,3549,2015-06-07
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,3979,,158,
Sierra Leone,All,12901,30,3915,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3223,49,2010,2015-05-31
Guinea,Probable,419,,419,
Guinea,Suspected,10,,,
Guinea,All,3652,49,2429,
Liberia,Confirmed,3151,0,,2015-05-17
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,0,4806,
Sierra Leone,Confirmed,8620,23,3546,2015-05-31
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,3920,,158,
Sierra Leone,All,12827,23,3912,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
